epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,9868.67,1.66913,2.47856,2.19571,0.37756,0.24631,0.33631,0.12654,2.28078,3.25878,2.72737,4.9588e-05,4.9588e-05,4.9588e-05
90,9979.4,1.67782,2.46322,2.18404,0.40132,0.44102,0.35409,0.13732,2.27415,3.24268,2.7255,4.57765e-05,4.57765e-05,4.57765e-05
91,10089.8,1.72683,2.56887,2.36215,0.37199,0.34565,0.43335,0.15998,2.28112,3.32692,2.71193,4.1965e-05,4.1965e-05,4.1965e-05
92,10199.8,1.64831,2.37841,2.27403,0.35898,0.43377,0.38859,0.17479,2.25693,3.22927,2.62885,3.81535e-05,3.81535e-05,3.81535e-05
93,10310.1,1.64173,2.28009,2.27082,0.33635,0.45874,0.37003,0.16806,2.27813,3.22018,2.67267,3.4342e-05,3.4342e-05,3.4342e-05
94,10419.7,1.67345,2.27798,2.29623,0.3227,0.43895,0.37181,0.16111,2.27295,3.22288,2.6981,3.05305e-05,3.05305e-05,3.05305e-05
95,10530.2,1.63118,2.19029,2.27251,0.34331,0.46061,0.35502,0.15208,2.26318,3.20322,2.71858,2.6719e-05,2.6719e-05,2.6719e-05
96,10640,1.62549,2.21169,2.25585,0.40267,0.4056,0.38599,0.16359,2.25285,3.19506,2.67915,2.29075e-05,2.29075e-05,2.29075e-05
97,10750.2,1.63438,2.21194,2.28414,0.46024,0.38892,0.42259,0.16518,2.27723,3.15368,2.68232,1.9096e-05,1.9096e-05,1.9096e-05
98,10860.3,1.60259,2.16968,2.25647,0.34608,0.4475,0.42356,0.16104,2.29241,3.16737,2.71097,1.52845e-05,1.52845e-05,1.52845e-05
99,10970.5,1.59138,2.17154,2.24218,0.45637,0.38557,0.44245,0.16833,2.27643,3.18152,2.70926,1.1473e-05,1.1473e-05,1.1473e-05
100,11080.1,1.59101,2.15683,2.24055,0.46727,0.3806,0.43992,0.15668,2.27808,3.17351,2.70252,7.6615e-06,7.6615e-06,7.6615e-06
